,price,locali,superficie,bagni,piano
278,795000,5,160.0,2,0.0
279,345000,3,49.0,1,2.0
280,569000,4,150.0,3,1.0
281,1290000,5,270.0,3,2.0
282,1490000,5,225.0,3,5.0
283,1300000,4,160.0,3,5.0
284,390000,3,110.0,2,0.0
285,970000,5,239.0,3,0.0
286,1490000,5,250.0,3,3.0
287,890000,2,70.0,1,3.0
288,590000,5,132.0,2,4.0
289,1280000,5,166.0,1,1.0
290,189000,3,90.0,1,1.0
291,1560000,5,297.0,2,4.0
292,370000,5,111.0,2,1.0
293,580000,5,76.0,1,2.0
294,899000,5,186.0,3,4.0
295,645000,3,100.0,1,3.0
296,590000,5,152.0,3,2.0
297,245000,3,70.0,1,1.0
298,590000,4,80.0,1,3.0
299,295000,4,116.0,1,6.0
300,315000,2,35.0,1,0.0
301,660000,3,104.0,2,2.0
302,2570000,5,210.0,2,3.0
303,680000,3,90.0,2,3.0
304,599000,5,150.0,2,3.0
305,222000,2,57.0,1,4.0
306,1590000,5,225.0,3,2.0
307,1420000,3,170.0,2,3.0
308,1390000,5,281.0,3,4.0
309,549000,5,150.0,2,2.0
310,1120000,5,241.0,3,3.0
311,1320000,5,223.0,3,1.0
312,2450000,5,378.0,3,4.0
313,1250000,5,290.0,3,2.0
314,730000,5,165.0,3,4.0
315,390000,2,65.0,2,0.0
316,189000,2,55.0,1,0.5
317,740000,5,141.0,2,3.0
318,285000,3,80.0,2,1.0
319,85000,1,30.0,1,2.0
320,149000,2,58.0,1,0.0
321,199000,3,127.0,1,1.0
322,229000,4,110.0,2,0.5
323,185000,4,90.0,1,0.5
324,168000,3,65.0,1,1.0
325,112000,2,84.0,1,0.0
326,735000,3,115.0,1,1.0
327,218000,2,60.0,1,4.0
328,239000,2,70.0,1,0.5
329,335000,4,110.0,2,1.0
330,690000,3,104.0,1,3.0
331,219000,3,80.0,1,2.0
332,1150000,5,220.0,3,2.0
333,399000,3,107.0,2,3.0
334,240000,2,54.0,1,0.0
335,1650000,5,282.0,3,2.0
336,450000,4,145.0,3,2.0
337,345000,3,70.0,2,6.0
338,235000,2,70.0,1,8.0
